,Nome_Produto,Marca_Produto,Nota_Produto,Resumo_Descrição,Preço,Tamanho,Qtde_Aval,Qtde_Resp,Link,Palavra_Chave,Risco_Concorrencia,Risco_Concorrencia_Predito
27,Repelente 374 Pets Spray 250ml,374-pets,0.0,"Resumo
- Protege contra insetos de forma natural e eficaz;
- Hidrata a pelagem, deixando-a macia e saudável;
- Fórmula suave, segura para pets de todas as idades;
- Aroma agradável que proporciona sensação de frescor;
- Fácil aplicação, ideal para o dia a dia e passeios;
Cod: 990000002190-1",0.0,250 ml,0,0.0,https://www.petlove.com.br/kit-qualidade-de-vida-terapia-auxiliar-leishmaniose/p?sku=31027517727,insect,Risco Alto,Risco Alto
28,Repelente 374 Pets Spray 1L,374-pets,0.0,"Resumo
- Protege contra insetos de forma natural e eficaz;
- Hidrata a pelagem, deixando-a macia e saudável;
- Fórmula suave, segura para pets de todas as idades;
- Aroma agradável que proporciona sensação de frescor;
- Fácil aplicação, ideal para o dia a dia e passeios;
Cod: 990000002189-1",0.0,1 Litro,0,0.0,https://www.petlove.com.br/kit-qualidade-de-vida-terapia-auxiliar-leishmaniose/p?sku=31027517727,insect,Risco Alto,Risco Alto
29,Kit 2 Repelentes 374 Pets 250 ml Creme e Spray,374-pets,0.0,"Resumo
- Protege contra insetos de forma natural e eficaz;
- Hidrata a pelagem, deixando-a macia e saudável;
- Fórmula suave, segura para pets de todas as idades;
- Aroma agradável que proporciona sensação de frescor;
- Fácil aplicação, ideal para o dia a dia e passeios;
Cod: 990000002188-1",0.0,250 ml,0,0.0,https://www.petlove.com.br/kit-qualidade-de-vida-terapia-auxiliar-leishmaniose/p?sku=31027517727,insect,Risco Alto,Risco Alto
30,Repelente 374 Pets Creme 250 ml,374-pets,0.0,"Resumo
- Protege contra insetos de forma natural e eficaz;
- Hidrata a pelagem, deixando-a macia e saudável;
- Fórmula suave, segura para pets de todas as idades;
- Aroma agradável que proporciona sensação de frescor;
- Fácil aplicação, ideal para o dia a dia e passeios;
Cod: 990000002187-1",0.0,250 ml,0,0.0,https://www.petlove.com.br/kit-qualidade-de-vida-terapia-auxiliar-leishmaniose/p?sku=31027517727,insect,Risco Alto,Risco Alto
48,Ração Premier Nutrição Clínica Hipoalergênico para Cães Adultos Pequeno Porte,premier,4.6,"Resumo
- Alimento destinado a cães que possuem reação adversa a certos tipos de alimento;
- Feito com proteína hidrolisada;
- Digestão facilitada: Combinação de ingredientes de alta digestibilidade com melhor absorção de nutrientes;
- Níveis elevados de ácidos graxos ômega 3 e 6 e zinco, que proporcionam maior integridade da pele;
- Elaborado com farinha de mandioca, fonte exclusiva de carboidrato;
- Este produto possui Satisfação Garantida. Saiba mais abaixo na descrição.
Cod: 2536356",46.94,2 Kg,72,23.0,https://www.petlove.com.br/kit-tapete-higienico-cafune-shampoo-cafune-toalha-umedecida-cafune-kit/p?sku=2805491,Hipoalergenico,Risco Médio,Risco Alto
49,Ração Premier Nutrição Clínica Hipoalergênico Cordeiro e Arroz para Cães Adultos Pequeno Porte,premier,4.6,"Resumo
- Fonte restrita de proteínas;
- Altamente palatável, não contém glúten;
- Feita com ingredientes de boa digestibilidade;
- Auxilia no tratamento das reações adversas aos alimentos;
- Promove cuidado com a pele, possuí níveis elevados de ácidos graxos ômega 3, ômega 6 e zinco;
- Não indicado para filhotes, cadelas gestantes/lactantes e cães com alergia à proteína de cordeiro ou a qualquer outro ingrediente da composição.

Este produto possui Satisfação Garantida. Saiba mais abaixo na descrição.
Cod: 2536858",46.94,2 Kg,66,34.0,https://www.petlove.com.br/kit-tapete-higienico-cafune-shampoo-cafune-toalha-umedecida-cafune-kit/p?sku=2805491,Hipoalergenico,Risco Médio,Risco Médio
52,Ração Premier Nutrição Clínica Hipoalergênico para Cães Adultos Médio e Grande Porte,premier,4.5,"Resumo
- Farinha de Mandioca: fonte exclusiva de carboidrato;
- Digestão facilitada: combinação de ingredientes de alta digestibilidade;
- Proteína Hidrolisada: auxilia na redução das reações adversas aos alimentos;
- Cuidado da pele: níveis elevados de ácidos graxos ômega 3 e 6 e zinco, que proporcionam a integridade da pele.

- Este produto possui Satisfação Garantida. Saiba mais abaixo na descrição..
Cod: 2536359",34.64,"10,1 Kg",39,23.0,https://www.petlove.com.br/kit-tapete-higienico-cafune-shampoo-cafune-toalha-umedecida-cafune-kit/p?sku=2805491,Hipoalergenico,Risco Médio,Risco Médio
53,Biscoito The Pet's Taste para Cães Hipoalergênico,the-pet-s-taste,4.2,"Resumo
- 100% natural, feito artesanalmente;
- Compatível com ração hipoalergênica;
- Não contém proteína de origem animal, glúten e lactose;
- Fórmula baseada em dietas para cães com hipersensibilidade alimentar;
- Possui triptofano que alivia o estresse por ser um precursor da serotonina;
- Rico em ômega 3 e 6 que ajudam nos processos inflamatórios e favorece na saúde da pele e pelo.
Cod: 3107892",35.99,150g,33,4.0,https://www.petlove.com.br/kit-tapete-higienico-cafune-shampoo-cafune-toalha-umedecida-cafune-kit/p?sku=2805491,Hipoalergenico,Risco Alto,Risco Alto
54,Ração Premier Nutrição Clínica Hipoalergênico Cordeiro e Arroz para Cães Adultos Médio e Grande Porte,premier,4.6,"Resumo
- Fonte restrita de proteínas;
- Altamente palatável, não contém glúten;
- Feita com ingredientes de boa digestibilidade;
- Auxilia no tratamento das reações adversas aos alimentos;
- Promove cuidado com a pele, possuí níveis elevados de ácidos graxos ômega 3, ômega 6 e zinco;
- Não indicado para filhotes, cadelas gestantes/lactantes e cães com alergia à proteína de cordeiro ou a qualquer outro ingrediente da composição.

Este produto possui Satisfação Garantida. Saiba mais abaixo na descrição.
Cod: 2536864",349.89,"10,1 Kg",31,6.0,https://www.petlove.com.br/kit-tapete-higienico-cafune-shampoo-cafune-toalha-umedecida-cafune-kit/p?sku=2805491,Hipoalergenico,Risco Médio,Risco Médio
55,Shampoo Vetnil Pelo & Derme Hipoalergênico - 320 mL,vetnil,4.9,"Resumo
- Agente hipoalergênico natural, garante frescor para a pele
- Hidrata e suaviza a pele, por suas propriedades umectantes
- Age diretamente no bulbo capilar, favorecendo a saúde, resistência e brilho da pelagem.
Cod: 3103782",132.9,320ml,20,3.0,https://www.petlove.com.br/kit-tapete-higienico-cafune-shampoo-cafune-toalha-umedecida-cafune-kit/p?sku=2805491,Hipoalergenico,Risco Baixo,Risco Baixo
